Model,Variant,Bin,Range_Low_m,Range_High_m,Range_Centre_m,Pixel_N,Pixel_Frac,MAE_mean,MAE_q1,MAE_median,MAE_q3,MAE_p90,AbsRel_mean,AbsRel_q1,AbsRel_median,AbsRel_q3,AbsRel_p90
GRADE,ours_full,0,0.0,2.0,1.0,1822040807,0.46940424274213327,0.14370040220939231,0.039,0.084,0.153,0.272,0.1238291360829882,0.031,0.069,0.131,0.233
GRADE,ours_full,1,2.0,4.0,3.0,1527843904,0.3936116073965102,0.31108085255634155,0.079,0.177,0.361,0.711,0.10894708167543667,0.03,0.066,0.129,0.242
GRADE,ours_full,2,4.0,6.0,5.0,356489321,0.0918407530318624,0.8359239110523077,0.23600000000000002,0.534,1.076,2.054,0.17236833675411878,0.05,0.112,0.222,0.424
GRADE,ours_full,3,6.0,8.0,7.0,114769360,0.02956751808951076,1.4817806526990511,0.47300000000000003,1.039,2.052,3.593,0.21620341089445022,0.07,0.153,0.3,0.522
GRADE,ours_full,4,8.0,10.0,9.0,45842679,0.011810244830189304,2.1287541363896163,0.76,1.6,2.853,4.999,0.23986461064469772,0.08600000000000001,0.179,0.327,0.559
GRADE,ours_full,5,10.0,11.2,10.6,14616695,0.0037656339097940556,2.5614319101678538,0.602,1.669,3.876,6.572,0.2427501752764903,0.057,0.158,0.367,0.62
Ours_diffusion,ours_diffusion,0,0.0,2.0,1.0,1822040807,0.46940424274213327,0.17087777619053296,0.045,0.097,0.18,0.326,0.14871155124694335,0.036000000000000004,0.079,0.154,0.28300000000000003
Ours_diffusion,ours_diffusion,1,2.0,4.0,3.0,1527843904,0.3936116073965102,0.35845698360006095,0.095,0.211,0.426,0.8280000000000001,0.12633746023280856,0.036000000000000004,0.079,0.152,0.28600000000000003
Ours_diffusion,ours_diffusion,2,4.0,6.0,5.0,356489321,0.0918407530318624,0.9291794777517367,0.274,0.614,1.221,2.238,0.1915855619516465,0.058,0.129,0.252,0.46
Ours_diffusion,ours_diffusion,3,6.0,8.0,7.0,114769360,0.02956751808951076,1.6667182430583465,0.5750000000000001,1.226,2.382,3.884,0.24312048832406455,0.085,0.18,0.34800000000000003,0.5650000000000001
Ours_diffusion,ours_diffusion,4,8.0,10.0,9.0,45842679,0.011810244830189304,2.4025046976158273,1.004,1.913,3.229,5.351,0.2707550876469198,0.113,0.216,0.37,0.599
Ours_diffusion,ours_diffusion,5,10.0,11.2,10.6,14616695,0.0037656339097940556,2.8425652784089195,0.668,2.033,4.515,6.91,0.2694084913806836,0.064,0.193,0.428,0.653
Ours_radar,ours_radar,0,0.0,2.0,1.0,1822040807,0.46940424274213327,0.1305459749058788,0.029,0.065,0.133,0.261,0.1052502691367565,0.025,0.055,0.105,0.195
Ours_radar,ours_radar,1,2.0,4.0,3.0,1527843904,0.3936116073965102,0.34347942339106935,0.08700000000000001,0.197,0.403,0.799,0.12021707442412094,0.033,0.074,0.14300000000000002,0.273
Ours_radar,ours_radar,2,4.0,6.0,5.0,356489321,0.0918407530318624,0.8990335663043091,0.252,0.5690000000000001,1.167,2.223,0.18574997584467937,0.054,0.12,0.242,0.458
Ours_radar,ours_radar,3,6.0,8.0,7.0,114769360,0.02956751808951076,1.5856766170512009,0.498,1.124,2.275,3.8040000000000003,0.23134796406888858,0.074,0.165,0.331,0.554
Ours_radar,ours_radar,4,8.0,10.0,9.0,45842679,0.011810244830189304,2.2327833303627895,0.844,1.712,2.955,5.196,0.2517644351828389,0.096,0.192,0.341,0.585
Ours_radar,ours_radar,5,10.0,11.2,10.6,14616695,0.0037656339097940556,2.5875219829765803,0.5730000000000001,1.55,4.018,6.759,0.24525877945541544,0.055,0.147,0.38,0.64
